UTNTSkyEdge_tntle_4_0|4|0|1|2979|2979|256.0|-1792.0|-416.0|-1888.0|-80.07071067811866|-1839.5050252531694|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|313.770794814|0.0|22|rock|-|SG000371|-|243
UTNTSkyEdge_tntle_5_0|5|0|1|2979|2979|-416.0|-1888.0|-432.0|-1936.0|-424.47434164902523|-1911.8418861169916|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|992.593304753|0.0|22|rock|-|SG000371|-|243
UTNTSkyEdge_tntle_7_0|7|0|1|20|20|-256.0|-3328.0|-224.0|-3328.0|-240.0|-3328.5|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|101.0|0.0|22|rock|-|SG000372|-|244
UTNTSkyEdge_tntle_12_0|12|0|1|2979|2979|1536.0|-3584.0|1552.0|-3600.0|1543.6464466094067|-3592.3535533905933|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|341.506805724|0.0|22|rock|-|SG000371|-|243
UTNTSkyEdge_tntle_13_0|13|0|1|25|25|1792.0|-4096.0|1792.0|-4128.0|1791.5|-4112.0|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|189.0|0.0|21.599999999999998|rock|-|SG000373|-|245
UTNTSkyEdge_tntle_14_0|14|0|1|251|251|1792.0|-4608.0|1893.0|-4709.0|1842.1464466094067|-4658.853553390593|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|317.0|0.0|22|rock|-|SG000374|-|246
UTNTSkyEdge_tntle_15_0|15|0|1|2979|2979|2304.0|-4864.0|2688.0|-4480.0|2496.3535533905933|-4672.353553390593|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|40.0|0.0|22|rock|-|SG000371|-|243
UTNTSkyEdge_tntle_16_0|16|0|1|2979|2979|2816.0|-4096.0|2616.0|-3776.0|2716.4239991520026|-3935.7350005299986|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|283.992247946|0.0|22|rock|-|SG000371|-|243
UTNTSkyEdge_tntle_17_0|17|0|1|2979|2979|1728.0|-1216.0|1280.0|-1280.0|1503.9292893218812|-1247.5050252531694|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|265.279103831|0.0|22|rock|-|SG000371|-|243
UTNTSkyEdge_tntle_18_0|18|0|1|2979|2979|1280.0|-1280.0|1024.0|-1536.0|1151.6464466094067|-1407.6464466094067|384.0|384.0|384.0|QROCK3|QROCK3X8|1.0|1.0|717.827443791|0.0|22|rock|-|SG000371|-|243
